Team,Opponent,Ground,Toss,Selection,Run_Scored,Wicket_Lost,Fours,Sixes,Extras,Run_Rate,Avg_Bat_Strike_Rate,Maximum_Partnership,Wicket_Taken,Highest_Individual_wicket,Result
Bangladesh,Sri Lanka,Mirpur,Win,Batting,204,9,14,1,17,4.08,49.51,49,7,2,Lose
Sri Lanka,Bangladesh,Mirpur,Lose,Bowling,208,7,19,1,9,4.24,55.16,74,9,2,Win
Pakistan,Sri Lanka,Mirpur,Win,Batting,260,5,21,5,6,5.2,86.61,114,5,3,Lose
Sri Lanka,Pakistan,Mirpur,Lose,Bowling,261,5,33,2,8,5.63,78.52,101,5,5,Win
Bangladesh,Sri Lanka,Dubai(DSC),Win,Batting,261,10,19,6,12,5.27,47.61,144,10,2,Win
Sri Lanka,Bangladesh,Dubai(DSC),Lose,Bowling,124,10,8,4,1,3.5,56.26,29,10,4,Lose
Hong Kong,Pakistan,Dubai(DSC),Win,Batting,116,10,10,1,4,3.12,40.6,27,2,2,Lose
Pakistan,Hong Kong,Dubai(DSC),Lose,Bowling,120,2,9,3,4,5.07,83.7,50,10,3,Win
Afghanistan,Sri Lanka,Abu Dhabi,Win,Batting,249,10,19,3,9,4.98,106.37,72,10,2,Win
Sri Lanka,Afghanistan,Abu Dhabi,Lose,Bowling,158,10,10,1,13,3.82,43.2,36,10,5,Lose
Hong Kong,India,Dubai(DSC),Win,Bowling,259,8,19,6,13,5.18,77.72,92,7,3,Lose
India,Hong Kong,Dubai(DSC),Lose,Batting,285,7,25,5,5,5.7,67.08,127,8,3,Win
India,Pakistan,Dubai(DSC),Lose,Bowling,164,2,17,5,4,5.65,92.42,52,10,3,Win
Pakistan,India,Dubai(DSC),Win,Batting,162,10,10,2,7,3.75,45.54,47,2,1,Lose
Afghanistan,Bangladesh,Abu Dhabi,Win,Batting,255,7,24,1,7,5.1,93.22,58,10,2,Win
Bangladesh,Afghanistan,Abu Dhabi,Lose,Bowling,119,10,5,0,5,2.82,34.44,32,7,4,Lose
Bangladesh,India,Dubai(DSC),Lose,Batting,173,10,11,4,3,3.51,56.81,42,3,1,Lose
India,Bangladesh,Dubai(DSC),Win,Bowling,174,3,13,4,4,4.78,66.77,83,10,4,Win
Afghanistan,Pakistan,Abu Dhabi,Win,Batting,257,6,16,5,5,5.14,92.35,97,7,3,Lose
Pakistan,Afghanistan,Abu Dhabi,Lose,Bowling,258,7,13,6,17,5.21,92.88,80,6,3,Win
India,Pakistan,Dubai(DSC),Lose,Bowling,238,1,24,6,1,6.02,91.31,114,7,2,Win
Pakistan,India,Dubai(DSC),Win,Batting,237,7,11,5,8,4.74,78.76,78,1,0,Lose
Afghanistan,Bangladesh,Abu Dhabi,Lose,Bowling,246,7,20,3,8,4.92,76.19,71,7,3,Lose
Bangladesh,Afghanistan,Abu Dhabi,Win,Batting,249,7,15,3,7,4.98,72.28,74,7,2,Win
Bangladesh,Pakistan,Abu Dhabi,Win,Batting,239,10,17,1,9,4.89,73.23,99,9,4,Win
Pakistan,Bangladesh,Abu Dhabi,Lose,Bowling,202,9,10,2,9,4.04,60.59,83,10,4,Lose
Bangladesh,India,Dubai(DSC),Lose,Batting,222,10,17,4,7,4.57,49.98,121,7,2,Lose
India,Bangladesh,Dubai(DSC),Win,Bowling,223,7,13,6,13,4.46,73.33,48,10,3,Win
